Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.16 SÃO BERNARDO DO CAMPO,1103254,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-26 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.19 OSASCO,1103259,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.19 OSASCO,1103260,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.22 GUARULHOS,1103274,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUACRE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-29 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.24 SUZANO,1104548,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-06-02 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.24 SUZANO,1104549,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-06-02 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.26 TATUAPÉ,1102311,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.27 JANDIRA,1103570,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.27 JANDIRA,1103568,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.27 JANDIRA,1103569,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-28 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.28 GUARULHOS,1102409,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-23 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.34 SÃO CAETANO DO SUL,1241420,MESA DE PEBOLIM OFICIAL,15,"R$ 1939,90","R$ 1083,11",BONECO P/MESA DE PEBOLIM,54.1%,2021-07-22 00:00:00,AVALIAR: Similaridade moderada (54.1%) com consumível 'BONECO P/MESA DE PEBOLIM...'. Possível reclassificação.
1.34 SÃO CAETANO DO SUL,1241421,MESA DE PEBOLIM OFICIAL,15,"R$ 1939,90","R$ 1083,11",BONECO P/MESA DE PEBOLIM,54.1%,2021-07-22 00:00:00,AVALIAR: Similaridade moderada (54.1%) com consumível 'BONECO P/MESA DE PEBOLIM...'. Possível reclassificação.
1.34 SÃO CAETANO DO SUL,1260354,MESA DE TÊNIS DE MESA,15,"R$ 3390,00","R$ 2260,00",BOLA DE TÊNIS DE MESA,72.4%,2022-08-31 00:00:00,MANTER: Alta similaridade (72.4%) com consumível 'BOLA DE TÊNIS DE MESA...'. Forte indicação de má classificação.
1.34 SÃO CAETANO DO SUL,1260355,MESA DE TÊNIS DE MESA,15,"R$ 3390,00","R$ 2260,00",BOLA DE TÊNIS DE MESA,72.4%,2022-08-31 00:00:00,MANTER: Alta similaridade (72.4%) com consumível 'BOLA DE TÊNIS DE MESA...'. Forte indicação de má classificação.
1.34 SÃO CAETANO DO SUL,1260356,MESA DE TÊNIS DE MESA,15,"R$ 3390,00","R$ 2260,00",BOLA DE TÊNIS DE MESA,72.4%,2022-08-31 00:00:00,MANTER: Alta similaridade (72.4%) com consumível 'BOLA DE TÊNIS DE MESA...'. Forte indicação de má classificação.
1.44 SÃO BERNARDO DO CAMPO,1102412,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.44 SÃO BERNARDO DO CAMPO,1102413,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.44 SÃO BERNARDO DO CAMPO,1102414,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
1.44 SÃO BERNARDO DO CAMPO,1102415,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
