Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
6.02 RIBEIRÃO PRETO,1154744,ESCADA EM FIBRA 12D - DUPLO ACESSO / W.BERTOLO,15,"R$ 655,50","R$ 5,46",ESCADA DE FIBRA 5D - DUPLO,55.0%,2016-01-22 00:00:00,AVALIAR: Similaridade moderada (55.0%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1186475,ANDAIME INDUSTRIAL DE 12 METROS/ FERRARI,15,"R$ 7243,54","R$ 1146,92",ROLAMENTO INDUSTRIAL DE ESFERA,32.5%,2017-07-11 00:00:00,MANTER: Baixa similaridade (32.5%) com consumível 'ROLAMENTO INDUSTRIAL DE ESFERA...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,953902,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,15,"R$ 224,47","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-13 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,953903,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,15,"R$ 224,47","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-13 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,953910,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,15,"R$ 224,47","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-13 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,953915,ESCADA DUPLA C/PLATAF.07 DEGR./W.BERTOLO,15,"R$ 224,47","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,38.1%,2010-08-13 00:00:00,MANTER: Baixa similaridade (38.1%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1220462,CARRINHO PARA TRANSPORTE DE FARINHA/PREMIUM,30,"R$ 1762,50","R$ 587,50",CARRINHO TRANSPORTE BARREIRAS,48.8%,2019-04-17 00:00:00,AVALIAR: Similaridade moderada (48.8%) com consumível 'CARRINHO TRANSPORTE BARREIRAS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1220463,CARRINHO PARA TRANSPORTE DE FARINHA/PREMIUM,30,"R$ 1762,50","R$ 587,50",CARRINHO TRANSPORTE BARREIRAS,48.8%,2019-04-17 00:00:00,AVALIAR: Similaridade moderada (48.8%) com consumível 'CARRINHO TRANSPORTE BARREIRAS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1220464,CARRINHO PARA TRANSPORTE DE FARINHA/PREMIUM,30,"R$ 1762,50","R$ 587,50",CARRINHO TRANSPORTE BARREIRAS,48.8%,2019-04-17 00:00:00,AVALIAR: Similaridade moderada (48.8%) com consumível 'CARRINHO TRANSPORTE BARREIRAS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1171995,"ESCADA EXTENSÍVEL EM FIBRA 4,80X8,40M/W BERTOLO",15,"R$ 750,00","R$ 56,25",ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO,50.9%,2016-09-21 00:00:00,AVALIAR: Similaridade moderada (50.9%) com consumível 'ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1171996,ESCADA EM FIBRA 12D - DUPLO ACESSO/W BERTOLO,15,"R$ 587,05","R$ 43,99",ESCADA DE FIBRA 5D - DUPLO,55.0%,2016-09-21 00:00:00,AVALIAR: Similaridade moderada (55.0%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,876870,QUADRO  MAGNETICO BRANCO - CORTIARTE,20,"R$ 234,30","R$ 0,00",QUADRO MAGNÉTICO BRANCO 90X60cm,65.4%,2008-12-19 00:00:00,RECLASSIFICAR: Alta similaridade (65.4%) com consumível 'QUADRO MAGNÉTICO BRANCO 90X60cm...'. Forte indicação de má classificação.
6.02 RIBEIRÃO PRETO,894055,CAIXA DE ÁGUA P/RESFRIAR PEÇAS DC-845,25,"R$ 2830,00","R$ 0,00",CAIXA DE AGUA DE POLIPROPILENO,39.5%,2009-04-14 00:00:00,MANTER: Baixa similaridade (39.5%) com consumível 'CAIXA DE AGUA DE POLIPROPILENO...'. Provavelmente corretamente classificado.
6.03 ARARAQUARA,1279376,CATRACA INTERNA C/PEDESTAL,15,"R$ 6050,00","R$ 4638,33",CATRACA BLINDADA,36.1%,2023-08-25 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
6.03 ARARAQUARA,1279377,CATRACA INTERNA C/PEDESTAL,15,"R$ 6050,00","R$ 4638,33",CATRACA BLINDADA,36.1%,2023-08-25 00:00:00,MANTER: Baixa similaridade (36.1%) com consumível 'CATRACA BLINDADA...'. Provavelmente corretamente classificado.
