Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
SENAI SEDE,1039668,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039669,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039670,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039671,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039672,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039673,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039674,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039675,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039676,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039677,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039678,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039679,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039680,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039681,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039682,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039683,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039684,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039685,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039686,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039687,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039688,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039689,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039690,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039691,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
